<ERRCODE>,,,,,,,
8300,302,0,,,CC-Link Safety protocol (Out of receive command range),An unexpected protocol occurred.,"Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
8300,304,0,,,CC-Link Safety protocol division number error (Product information),The continuity of division numbers collapsed in the send/receive processing of product information.,"Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
8300,304,1,,,CC-Link Safety protocol division number error (Safety slave station parameters),The continuity of division numbers collapsed in the send/receive processing of the safety slave station parameters.,"Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
8300,304,2,,,CC-Link Safety protocol division number error (Error information),The continuity of division numbers collapsed in the send/receive processing of error information.,"Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
8300,304,3,,,CC-Link Safety protocol division number error (Safety slave station internal information),The continuity of division numbers collapsed in the safety slave station internal information access processing.,"Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
8300,305,0,,,CC-Link Safety protocol product mismatch (Link ID mismatch),The link ID received from the safety master station and that of the host station are different.,"(1)Check the link ID.
(2)Check the parameter settings.
(This error code may not be output due to error check on the master station.)"
8300,305,1,,,CC-Link Safety protocol product mismatch (Manufacturer code mismatch),The manufacturer code received from the safety master station and that of the host station mismatched in the product information verification processing.,"(1)Check the parameter settings.
(This error codes may not be output due to error check on the master station.)"
8300,305,2,,,CC-Link Safety protocol product mismatch (Module inherent code mismatch),The inherent code received from the safety master station and that of the host station mismatched in the product information verification processing.,"(1)Check the parameter settings.
(This error codes may not be output due to error check on the master station.)"
8300,305,3,,,CC-Link Safety protocol product mismatch (Module technical version mismatch),The module technical version received from the safety master station and that of the host station mismatched in the product information verification processing.,"(1)Check the parameter settings.
(This error codes may not be output due to error check on the master station.)"
8300,305,4,,,CC-Link Safety protocol product mismatch (Production information mismatch),"The production information received from the safety master station and that of the host station mismatched in the product information verification processing.
Host information 1, 2: Lowest 16 bits of production information
Host information 7, 8: Highest 16 bits of production information","(1)Check the production information set as parameter.
(This error code may not be output due to error check on the master station.)"
8300,305,5,,1,CC-Link Safety protocol product mismatch (Model name information mismatch),The model name information received from the safety master station and that of the host station mismatched in the product information verification processing.,"(1)Check the production information set as parameter.
(This error code may not be output due to error check on the master station.)"
8300,306,1,,,CC-Link Safety protocol safety slave station parameter error (Verification request acceptance disabled),"The verification request for the safety slave station parameters is accepted from the safety master station. However, it is not supported by the local station.","Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
8300,306,2,,,Safety slave station parameters Out of parameter number range,The number of the safety slave station parameters is out of range.,"Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
8300,306,3,,,Safety slave station parameters Same parameter number setting,The same number is set for the safety slave station parameters.,"Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
8300,306,4,,,Safety slave station parameter Out of setting range,The settings of the safety slave station parameters are out of range.,"Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
8300,306,5,,,CC-Link Safety protocol safety slave station parameter error (CRC32 mismatch),"For the safety slave station parameters received from the safety master station, the CRC32 calculated from the overall parameters and the received one mismatch.","Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
8300,307,0,,,Protocol version notification error,"No protocol version notification was received from the safety master station. Or, the protocol version notification from the safety master station is abnormal.","Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
8300,307,1,,,Safety data monitoring timer notification error,No safety data monitoring timer notification was received from the safety master station.,"Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
8300,307,2,,,Safety refresh response processing time request error,No safety refresh response processing time request was received from the safety master station.,"Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
8300,307,15,,,Unsupported function notification,Unsupported function data were sent from the safety master station.,"Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
8300,350,719,,,CC-Link Safety protocol safety slave station parameter number error,The received numbers of safety slave station parameters are out of range.,"After checking that the CSP file is not damaged and that the latest CSP file is registered, set the safety remote I/O module parameters again."
