<GROUP>,,
</GROUP>,,
<ERRCODE>,,
044C,"Faults
Hardware is faulty.","* Check that there is no influence from noise.
* Check hardware for possibility of fault."
0834,"Faults
Hardware is faulty.","* Check that there is no influence from noise.
* Check hardware for possibility of fault."
0C1C,"Faults
Hardware is faulty.","* Check that there is no influence from noise.
* Check hardware for possibility of fault."
1004,"Faults
Hardware is faulty.","* Check that there is no influence from noise.
* Check hardware for possibility of fault."
13EC,"Faults
Hardware is faulty.","* Check that there is no influence from noise.
* Check hardware for possibility of fault."
17D4,"Faults
Hardware is faulty.","* Check that there is no influence from noise.
* Check hardware for possibility of fault."
1BBC,"Faults
Hardware is faulty.","* Check that there is no influence from noise.
* Check hardware for possibility of fault."
1FA4,"Faults
Hardware is faulty.","* Check that there is no influence from noise.
* Check hardware for possibility of fault."
044D,"QD70D not prepared
Start was made when the QD70D was not ready.","After switching power from OFF to ON/resetting the PLC CPU, turn ON the PLC READY signal (Yn0) again, make sure that the module READY signal (Xn0) is ON, and then make a start. (The module is faulty if the module READY signal (Xn0) does not turn ON.)"
0835,"QD70D not prepared
Start was made when the QD70D was not ready.","After switching power from OFF to ON/resetting the PLC CPU, turn ON the PLC READY signal (Yn0) again, make sure that the module READY signal (Xn0) is ON, and then make a start. (The module is faulty if the module READY signal (Xn0) does not turn ON.)"
0C1D,"QD70D not prepared
Start was made when the QD70D was not ready.","After switching power from OFF to ON/resetting the PLC CPU, turn ON the PLC READY signal (Yn0) again, make sure that the module READY signal (Xn0) is ON, and then make a start. (The module is faulty if the module READY signal (Xn0) does not turn ON.)"
1005,"QD70D not prepared
Start was made when the QD70D was not ready.","After switching power from OFF to ON/resetting the PLC CPU, turn ON the PLC READY signal (Yn0) again, make sure that the module READY signal (Xn0) is ON, and then make a start. (The module is faulty if the module READY signal (Xn0) does not turn ON.)"
13ED,"QD70D not prepared
Start was made when the QD70D was not ready.","After switching power from OFF to ON/resetting the PLC CPU, turn ON the PLC READY signal (Yn0) again, make sure that the module READY signal (Xn0) is ON, and then make a start. (The module is faulty if the module READY signal (Xn0) does not turn ON.)"
17D5,"QD70D not prepared
Start was made when the QD70D was not ready.","After switching power from OFF to ON/resetting the PLC CPU, turn ON the PLC READY signal (Yn0) again, make sure that the module READY signal (Xn0) is ON, and then make a start. (The module is faulty if the module READY signal (Xn0) does not turn ON.)"
1BBD,"QD70D not prepared
Start was made when the QD70D was not ready.","After switching power from OFF to ON/resetting the PLC CPU, turn ON the PLC READY signal (Yn0) again, make sure that the module READY signal (Xn0) is ON, and then make a start. (The module is faulty if the module READY signal (Xn0) does not turn ON.)"
1FA5,"QD70D not prepared
Start was made when the QD70D was not ready.","After switching power from OFF to ON/resetting the PLC CPU, turn ON the PLC READY signal (Yn0) again, make sure that the module READY signal (Xn0) is ON, and then make a start. (The module is faulty if the module READY signal (Xn0) does not turn ON.)"
044E,"Stop signal ON at start
A start request was given when the axis stop signal (Y(n+1)0) is ON.","Check whether the axis stop signal (Y(n+1)0) is ON or OFF and turn OFF the axis stop signal that is ON."
0836,"Stop signal ON at start
A start request was given when the axis stop signal (Y(n+1)1) is ON.","Check whether the axis stop signal (Y(n+1)1) is ON or OFF and turn OFF the axis stop signal that is ON."
0C1E,"Stop signal ON at start
A start request was given when the axis stop signal (Y(n+1)2) is ON.","Check whether the axis stop signal (Y(n+1)2) is ON or OFF and turn OFF the axis stop signal that is ON."
1006,"Stop signal ON at start
A start request was given when the axis stop signal (Y(n+1)3) is ON.","Check whether the axis stop signal (Y(n+1)3) is ON or OFF and turn OFF the axis stop signal that is ON."
13EE,"Stop signal ON at start
A start request was given when the axis stop signal (Y(n+1)4) is ON.","Check whether the axis stop signal (Y(n+1)4) is ON or OFF and turn OFF the axis stop signal that is ON."
