SW0048,0x30,ケーブルが未装着またはケーブルが断線しています。ケーブルが正しく接続されている場合は、ユニットが故障している可能性があります。,ケーブルを正しく装着してください。または、断線していないケーブルに交換してください。ケーブルが正しく接続されている場合は、H/Wテストまたは自己折り返しテストを実施してください。
SW0048,0x33,自局が解列/復列処理処理中です。,マスタ局重複や局番重複が発生している場合は、マスタ局および自局のネットワークパラメータで局番または局種別を変更してください。または、ネットワークの接続構成がリング構成になっていないことを確認し、自局のポートに正しくケーブルを装着してください。これらが正常の場合は、ネットワークユニットの故障が考えられます。ネットワークユニットを交換してください。
SW0048,0x40,自局がオフラインモードに設定されています。,自局のネットワークパラメータで、モードをオンラインモードに変更してください。
SW0048,0x41,自局がH/Wテストモードに設定されています。,自局のネットワークパラメータで、モードをオンラインモードに変更してください。
SW0048,0x42,自局が自己折り返しテストモードに設定されています。,自局のネットワークパラメータで、モードをオンラインモードに変更してください。
SW0048,0x43,自局が回線テストモードに設定されています。または、マスタ局が回線テストモードに設定されています。,自局のネットワークパラメータで、モードをオンラインモードに変更してください。または、マスタ局のネットワークパラメータで、モードをオンラインモードに変更してください。
SW0048,0x60,自局がループバック機能を設定していないにも関わらず、ネットワークがリング構成で接続されています。,自局のネットワークパラメータで、ループバック機能を「使用する」に変更してください。または、リングを構成しているケーブルを外してください。
SW0049,0x01,自局でデータリンク停止指示を発行しました。または、マスタ局からデータリンク停止指示を受け付けています。　ヘッドユニットの場合はシステムで使用しているSB0001が誤ってONされています。,自局でデータリンク再起動を実行してください。または、マスタ局からデータリンク再起動を実行してください。　　　ヘッドユニットの場合はユニットをリセットしてください。
SW0049,0x02,データリンク監視時間をオーバーし、自局が解列状態になっています。,マスタ局で異常が発生していないことおよびネットワーク構成が不正なリング構成になっていないことを確認し、自局をネットワークに接続してください。または、自局およびマスタ局のパラメータで自局の設定が合っていることを確認してください。　または、スイッチングハブにEthernet機器が接続されている場合は、Ethernet機器を外してください。
SW0049,0x03,回線テストを実施中です。,マスタ局が回線テストモードに設定されています。マスタ局のネットワークパラメータで、モードをオンラインモードに変更してください。
SW0049,0x05,子局が存在しないまたは起動後に子局と一度もデータリンクしていません。,マスタ局のパラメータに子局の局情報がパラメータで設定されていることを確認してください。または、マスタ局に子局の局情報をパラメータで設定してください。または、スイッチングハブにEthernet機器が接続されている場合は、Ethernet機器を外してください。
